City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Anantapur,IN,14.6833,77.6,85.19,57,100,14.41,overcast clouds
Nemuro,JP,43.3236,145.575,52.92,98,36,10.29,scattered clouds
Baykit,RU,61.67,96.37,60.46,93,35,3.6,scattered clouds
Lincoln,US,40.8,-96.667,86.86,43,0,11.5,clear sky
Beringovskiy,RU,63.05,179.3167,42.33,81,71,7.05,broken clouds
Margate,GB,51.3813,1.3862,71.69,64,100,4.0,overcast clouds
Gamba,GA,-2.65,10.0,72.36,85,75,6.46,broken clouds
Roebourne,AU,-20.7833,117.1333,72.95,56,40,5.5,scattered clouds
Tokur,RU,53.1333,132.9,46.36,97,100,2.91,overcast clouds
Praia Da Vitoria,PT,38.7333,-27.0667,73.65,78,40,8.23,scattered clouds
Kruisfontein,ZA,-34.0033,24.7314,55.89,42,98,7.2,overcast clouds
Ketrzyn,PL,54.0768,21.3753,55.08,86,100,5.55,overcast clouds
Nandu,CN,22.8525,110.8233,75.88,96,100,3.22,light rain
Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,81,24,5.28,few clouds
Parana,AR,-31.732,-60.5238,69.55,56,89,7.85,overcast clouds
Banda Aceh,ID,5.5577,95.3222,79.83,80,99,6.58,overcast clouds
Richards Bay,ZA,-28.783,32.0377,56.28,66,0,6.06,clear sky
Marienburg,PL,54.0359,19.0266,55.99,86,100,3.4,overcast clouds
Aranda De Duero,ES,41.6704,-3.6892,74.93,50,100,11.07,overcast clouds
Kaset Sombun,TH,16.2805,101.9542,79.27,76,100,3.49,overcast clouds
Eyl,SO,7.9803,49.8164,79.12,77,89,19.82,overcast clouds
Batemans Bay,AU,-35.7167,150.1833,54.1,70,98,4.0,overcast clouds
Hay River,CA,60.8156,-115.7999,57.16,67,75,8.05,broken clouds
Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,75.13,58,100,3.18,overcast clouds
Vilhena,BR,-12.7406,-60.1458,82.62,61,75,6.91,broken clouds
Chililabombwe,ZM,-12.3648,27.8229,60.44,44,4,3.76,clear sky
Vrontados,GR,38.4089,26.1328,73.98,64,0,11.81,clear sky
Grand Forks,US,47.9417,-97.4337,73.13,49,40,23.02,scattered clouds
Fare,PF,-16.7,-151.0167,79.83,67,0,17.78,clear sky
Merauke,ID,-8.4667,140.3333,77.65,89,35,13.15,scattered clouds
Labuhan,ID,-6.8844,112.2051,78.91,87,18,8.12,few clouds
Beitbridge,ZW,-22.2167,30.0,60.48,62,0,7.56,clear sky
College,US,64.8569,-147.8028,64.72,71,75,4.61,broken clouds
Mayo,US,38.8876,-76.5119,86.11,76,100,7.0,overcast clouds
Kieta,PG,-6.2167,155.6333,77.99,85,100,3.53,light rain
Antofagasta,CL,-23.65,-70.4,60.08,71,43,8.61,scattered clouds
Kosa,RU,59.9445,54.9977,60.51,97,100,6.4,overcast clouds
Shitanjing,CN,39.2342,106.3439,76.19,13,30,9.51,scattered clouds
Calvinia,ZA,-31.4707,19.776,50.34,40,100,9.86,overcast clouds
Erenhot,CN,43.6475,111.9767,72.48,39,100,11.79,overcast clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,85,75,14.97,broken clouds
Bafia,CM,4.75,11.2333,69.57,99,100,6.35,heavy intensity rain
Oksfjord,NO,70.2396,22.3479,44.78,72,91,5.37,overcast clouds
West Bay,KY,19.3667,-81.4167,78.08,94,75,6.91,broken clouds
Chik,RU,54.9928,82.4311,56.95,93,0,6.71,clear sky
Muhos,FI,64.808,25.9931,51.58,96,100,10.4,light rain
Barretos,BR,-20.5572,-48.5678,85.33,26,0,1.48,clear sky
Kerchevskiy,RU,59.946,56.2884,59.54,96,100,5.19,light rain
Traralgon,AU,-38.1833,146.5333,51.15,95,98,4.09,overcast clouds
Paita,PE,-5.0892,-81.1144,70.97,64,24,17.27,few clouds
Shambu,ET,9.5667,37.1,53.89,87,34,0.6,light rain
Mongo,TD,12.1844,18.693,91.89,35,65,2.98,broken clouds
Komagane,JP,35.7296,137.9396,63.12,95,100,4.34,light rain
Tabou,CI,4.423,-7.3528,75.42,91,100,9.44,light rain
George Town,MY,5.4112,100.3354,82.33,93,20,3.44,thunderstorm
Isiro,CD,2.7739,27.616,68.38,97,100,0.83,overcast clouds
Palmas,BR,-10.2128,-48.3603,91.27,38,20,5.75,few clouds
Mount Isa,AU,-20.7333,139.5,55.17,38,0,2.3,clear sky
Sept-Iles,CA,50.2001,-66.3821,75.2,59,100,14.97,overcast clouds
Iralaya,HN,15.0,-83.2333,78.3,86,100,6.93,overcast clouds
Volkhov,RU,59.9258,32.3382,53.74,77,97,6.67,overcast clouds
Saldanha,ZA,-33.0117,17.9442,57.25,49,100,10.67,overcast clouds
Toora-Khem,RU,52.4675,96.11,53.22,90,100,3.56,overcast clouds
Naliya,IN,23.2667,68.8333,84.54,75,6,15.19,clear sky
Brae,GB,60.3964,-1.353,55.22,81,99,6.17,overcast clouds
Basoko,CD,1.2391,23.616,73.85,90,86,2.51,light rain
Lugovoy,KZ,42.9472,72.7644,65.35,48,20,2.73,few clouds
Quelimane,MZ,-17.8786,36.8883,73.35,94,20,4.61,few clouds
Along,IN,28.1667,94.7667,71.42,99,100,0.54,overcast clouds
Imeni Babushkina,RU,59.7573,43.1285,52.88,92,50,5.35,scattered clouds
San Juan,AR,-31.5375,-68.5364,57.92,31,0,5.19,clear sky
Faanui,PF,-16.4833,-151.75,80.2,69,0,17.18,clear sky
Barraute,CA,48.4335,-77.6328,77.27,77,57,12.86,broken clouds
Yashkul,RU,46.1711,45.3435,74.19,56,1,12.37,clear sky
Olavarria,AR,-36.8927,-60.3225,58.03,43,0,4.72,clear sky
General Roca,AR,-39.0333,-67.5833,60.62,27,4,27.18,clear sky
Robertsport,LR,6.7533,-11.3686,79.09,84,100,13.96,moderate rain
Kharan,PK,28.5833,65.4167,96.75,7,0,7.43,clear sky
Kiruna,SE,67.8557,20.2251,52.72,54,0,13.8,clear sky
Zhezkazgan,KZ,47.8043,67.7144,72.18,30,0,9.69,clear sky
Naranjal,EC,-2.6667,-79.6167,85.5,61,72,4.61,broken clouds
Quatre Cocos,MU,-20.2078,57.7625,74.08,68,6,12.55,clear sky
Kavieng,PG,-2.5744,150.7967,81.03,77,70,13.24,broken clouds
Xuddur,SO,4.1213,43.8894,76.82,55,81,15.95,broken clouds
Elat,IL,29.5581,34.9482,96.64,28,0,14.97,haze
Ngunguru,NZ,-35.6167,174.5,53.67,88,100,6.82,light rain
Oktyabrskoye,RU,43.0645,44.7417,68.14,83,45,6.71,scattered clouds
Miri,MY,4.4148,114.0089,77.14,94,40,0.0,scattered clouds
Pangnirtung,CA,66.1451,-65.7125,37.4,81,75,19.57,broken clouds
Cidreira,BR,-30.1811,-50.2056,65.89,67,77,5.93,broken clouds
Sao Mateus Do Maranhao,BR,-4.0417,-44.475,81.9,78,100,2.01,overcast clouds
Poltavka,RU,54.3663,71.7632,59.36,77,8,8.23,clear sky
Upernavik,GL,72.7868,-56.1549,35.51,70,0,8.3,clear sky
Shangrao,CN,28.4532,117.9686,71.8,93,100,0.72,overcast clouds
Portland,US,45.5234,-122.6762,66.61,66,75,7.0,broken clouds
Bocas Del Toro,PA,9.3333,-82.25,81.39,81,45,11.74,scattered clouds
Payson,US,40.0444,-111.7321,88.45,22,0,5.01,clear sky
Portobelo,PA,9.55,-79.65,85.1,79,80,7.31,broken clouds
At-Bashi,KG,41.1702,75.8106,49.86,74,51,0.38,broken clouds
Salinopolis,BR,-0.6136,-47.3561,80.8,77,53,8.03,broken clouds
Gobabis,NA,-22.45,18.9667,54.19,25,0,10.71,clear sky
Karpogory,RU,64.0019,44.4451,55.22,94,10,7.81,clear sky
Anchorage,US,61.2181,-149.9003,63.64,60,0,8.05,clear sky
Kiunga,PG,-6.1219,141.2906,72.07,99,80,0.85,broken clouds
Yulara,AU,-25.2406,130.9889,57.76,45,7,5.79,clear sky
Abnub,EG,27.2696,31.1511,89.85,25,0,13.94,clear sky
Honningsvag,NO,70.9821,25.9704,40.75,93,75,10.36,light intensity drizzle
Krasnoarmeysk,RU,51.0239,45.6969,60.19,89,63,7.25,broken clouds
Okmulgee,US,35.6234,-95.9605,93.02,66,0,10.36,clear sky
Najran,SA,17.4924,44.1277,90.25,15,26,4.09,scattered clouds
Lafiagi,NG,8.8667,5.4167,75.74,89,65,4.81,moderate rain
Hami,CN,42.8,93.45,80.42,31,26,16.33,scattered clouds
Calvia,ES,39.5657,2.5062,84.96,43,99,0.85,overcast clouds
Samarai,PG,-10.6167,150.6667,81.01,82,74,11.74,broken clouds
Waynesville,US,35.4887,-82.9887,92.71,39,15,3.51,few clouds
Saint-Pierre,RE,-21.3393,55.4781,70.92,73,0,5.75,clear sky
San Ramon,US,37.7799,-121.978,79.27,56,20,11.5,few clouds
Anadyr,RU,64.75,177.4833,46.9,87,20,13.42,few clouds
Misratah,LY,32.3754,15.0925,76.62,66,0,8.79,clear sky
Kashi,CN,39.4547,75.9797,78.01,15,17,22.37,few clouds
Miyako,JP,39.6367,141.9525,61.79,88,34,5.44,scattered clouds
Dingle,PH,10.9995,122.6711,77.92,83,100,4.23,overcast clouds
Verkhoyansk,RU,67.5447,133.385,44.91,75,100,8.59,overcast clouds
Axim,GH,4.8699,-2.2405,74.82,91,100,12.53,moderate rain
Mareeba,AU,-17.0,145.4333,68.72,96,60,2.66,broken clouds
Alice Springs,AU,-23.7,133.8833,44.15,81,12,0.0,few clouds
Kaeo,NZ,-35.1,173.7833,48.33,96,100,3.89,light rain
Bosaso,SO,11.2842,49.1816,92.12,44,100,5.14,overcast clouds
Laukaa,RU,58.7372,29.8453,53.98,85,58,6.24,broken clouds
Yarada,IN,17.65,83.2667,82.72,89,40,3.44,scattered clouds
Pandamatenga,BW,-18.5278,25.627,59.34,37,0,3.89,clear sky
Olafsvik,IS,64.8945,-23.7142,49.71,68,46,9.6,scattered clouds
Arona,ES,28.0996,-16.681,71.98,62,20,18.41,few clouds
Novyy Urengoy,RU,66.0833,76.6333,58.42,61,100,17.05,overcast clouds
Lata,PT,40.1629,-8.3327,74.07,56,10,3.53,clear sky
Mangrol,IN,21.1167,70.1167,84.56,77,100,13.22,overcast clouds
Wilmington,US,34.2257,-77.9447,87.94,71,100,11.5,thunderstorm
Souillac,MU,-20.5167,57.5167,73.78,68,20,12.66,few clouds
Ulaanbaatar,MN,47.9077,106.8832,60.93,72,20,2.24,few clouds
Birobidzhan,RU,48.8,132.95,57.13,93,100,3.04,overcast clouds
Kudahuvadhoo,MV,2.6708,72.8944,83.71,73,100,12.15,overcast clouds
Suifenhe,CN,44.4,131.1667,52.66,97,11,4.03,few clouds
Gat,IL,31.61,34.7642,78.4,100,0,9.69,clear sky
Zunyi,CN,27.6867,106.9072,63.81,95,100,1.9,overcast clouds
Camana,PE,-16.6228,-72.7111,63.09,77,77,12.39,broken clouds
Mao,ES,39.8885,4.2658,81.16,61,0,6.91,clear sky
Cairo,EG,30.0626,31.2497,83.16,57,0,16.11,clear sky
Christchurch,NZ,-43.5333,172.6333,44.91,83,100,5.75,overcast clouds
Eureka,US,40.8021,-124.1637,61.12,78,100,5.01,overcast clouds
Chanthaburi,TH,12.8333,102.1667,71.6,96,99,1.21,overcast clouds
Ugoofaaru,MV,5.6667,73.0,83.01,76,100,14.92,overcast clouds
Balogo,PH,10.8868,124.7105,78.69,85,25,4.52,scattered clouds
Mbarara,UG,-0.608,30.65,65.28,72,10,1.59,clear sky
Awbari,LY,26.5921,12.7805,85.86,17,0,10.47,clear sky
Okhotsk,RU,59.3833,143.3,41.41,95,92,3.27,overcast clouds
Petrokamenskoye,RU,57.716,60.6484,58.69,94,74,3.15,light rain
Cururupu,BR,-1.8283,-44.8683,85.42,59,70,6.08,broken clouds
Paamiut,GL,61.994,-49.6678,38.66,70,96,5.57,overcast clouds
Whitefish,US,48.4111,-114.3376,73.11,56,0,0.0,clear sky
Chicama,PE,-7.8447,-79.1469,63.14,59,14,11.43,few clouds
Bantry,IE,51.6833,-9.45,61.79,81,100,7.29,overcast clouds
Mahebourg,MU,-20.4081,57.7,74.25,68,20,12.66,few clouds
Luderitz,NA,-26.6481,15.1594,58.32,56,3,9.95,clear sky
Nuuk,GL,64.1835,-51.7216,38.88,79,100,15.99,overcast clouds
Harlingen,US,26.1906,-97.6961,95.05,47,0,5.75,clear sky
Marystown,CA,47.1666,-55.1483,60.71,60,16,10.04,few clouds
Nelson Bay,AU,-32.7167,152.15,52.0,90,5,13.94,clear sky
Mazyr,BY,52.0495,29.2456,57.79,79,100,3.76,overcast clouds
Campoverde,PE,-8.4753,-74.8058,87.49,38,6,2.13,clear sky
Port Blair,IN,11.6667,92.75,80.64,83,40,2.3,mist
Linxia,CN,35.6003,103.2064,58.41,52,79,4.25,broken clouds
Chumikan,RU,54.7183,135.315,35.71,99,100,1.21,overcast clouds
Smithers,CA,54.7804,-127.1743,57.52,82,100,3.44,light rain
Hidalgo,MX,20.5,-99.0,73.74,41,100,19.62,overcast clouds
Havre-Saint-Pierre,CA,50.2334,-63.5986,70.16,49,0,17.27,clear sky
Garissa,KE,-0.4536,39.6401,78.13,73,33,21.43,scattered clouds
Hobyo,SO,5.3505,48.5268,79.03,82,98,24.05,overcast clouds
Loukhi,RU,66.0764,33.0381,46.17,98,100,8.32,moderate rain
Ormara,PK,25.2088,64.6357,82.87,87,40,11.52,scattered clouds
Port Hedland,AU,-20.3167,118.5667,68.05,52,49,6.91,scattered clouds
Mamallapuram,IN,12.6264,80.1722,86.05,68,94,8.7,overcast clouds
Kilindoni,TZ,-7.9139,39.6668,78.44,76,38,11.45,scattered clouds
Fukue,JP,32.6881,128.8419,72.12,90,99,5.79,overcast clouds
Aksarka,RU,66.5606,67.7975,47.71,60,46,9.01,scattered clouds
Haradok,BY,55.4624,29.9816,62.71,88,99,4.5,overcast clouds
Ridgecrest,US,35.6225,-117.6709,102.02,8,0,11.01,clear sky
Teahupoo,PF,-17.8333,-149.2667,75.16,73,100,20.49,light rain
Azare,NG,11.6765,10.1948,82.89,47,100,6.31,light rain
Batagay,RU,67.6333,134.6333,44.91,74,76,8.68,broken clouds
Quang Ngai,VN,15.1167,108.8,78.03,83,100,4.88,overcast clouds
Chengam,IN,12.3,78.8,80.56,75,93,3.96,overcast clouds
San Quintin,MX,30.4833,-115.95,72.12,56,1,9.22,clear sky
Meadow Lake,US,34.8014,-106.5436,97.84,12,1,9.19,clear sky
Sawakin,SD,19.1059,37.3321,87.49,51,4,7.94,clear sky
Bambous Virieux,MU,-20.3428,57.7575,74.21,68,20,12.66,few clouds
Sibolga,ID,1.7427,98.7792,77.16,86,100,3.13,overcast clouds
Barcelona,ES,41.3888,2.159,94.6,45,0,3.44,clear sky
San Andres,CO,12.5847,-81.7006,82.42,83,75,6.91,broken clouds
Roros,NO,62.5747,11.3842,51.64,82,75,4.61,broken clouds
Yuanping,CN,38.7153,112.7575,68.7,65,89,0.98,overcast clouds
Tarakan,ID,3.3,117.6333,76.5,94,20,2.3,few clouds
Lagunas,PE,-5.2269,-75.6753,90.41,41,10,1.43,clear sky
Laguna,US,38.421,-121.4238,85.32,37,0,9.22,clear sky
Tessalit,ML,20.1986,1.0114,84.0,39,100,21.45,light rain
Griffith,US,41.5284,-87.4237,96.06,37,0,18.41,clear sky
Vardo,NO,70.3705,31.1107,40.98,87,75,14.97,broken clouds
Deep River,CA,46.1001,-77.4995,85.75,68,90,12.12,overcast clouds
Nichlaul,IN,27.3167,83.7333,80.37,80,5,5.32,clear sky
Makakilo City,US,21.3469,-158.0858,78.55,79,40,11.5,scattered clouds
Hun,LY,29.1268,15.9477,85.1,25,0,8.37,clear sky
Waddan,LY,29.1614,16.139,84.9,26,0,8.66,clear sky
Shenzhen,CN,22.5455,114.0683,84.27,96,86,7.78,overcast clouds
Buraydah,SA,26.326,43.975,100.85,13,2,10.96,clear sky
Nouadhibou,MR,20.931,-17.0347,73.38,73,2,21.85,sand
Vega De Alatorre,MX,20.0333,-96.6333,85.75,62,100,9.73,overcast clouds
Muros,ES,42.7762,-9.0603,74.08,83,77,5.53,broken clouds
Puerto Gaitan,CO,4.3133,-72.0816,76.28,80,100,3.53,overcast clouds
Kloulklubed,PW,7.0419,134.2556,81.99,75,98,4.72,overcast clouds
Mitsamiouli,KM,-11.3847,43.2844,78.39,70,1,4.09,clear sky
Koslan,RU,63.4564,48.8989,57.04,79,100,5.03,overcast clouds
Pedernales,DO,18.0384,-71.744,86.79,61,100,8.43,overcast clouds
Artyom,AZ,40.4723,50.333,73.54,72,0,21.72,clear sky
Tsaratanana,MG,-16.7833,47.65,71.28,62,10,3.04,clear sky
Murindo,CO,6.9848,-76.7544,83.25,83,95,4.85,overcast clouds
Cukai,MY,4.25,103.4167,78.75,90,100,4.12,overcast clouds
Rustenburg,ZA,-25.6676,27.2421,46.8,28,4,2.13,clear sky
Port Macquarie,AU,-31.4333,152.9167,43.9,75,0,5.48,clear sky
Baley,RU,51.6,116.6333,51.19,74,33,3.0,scattered clouds
Sao Francisco,BR,-15.9486,-44.8644,87.19,23,0,4.14,clear sky
Coruripe,BR,-10.1256,-36.1756,76.37,72,92,12.77,overcast clouds
Acapulco,MX,16.8634,-99.8901,79.68,81,100,4.25,overcast clouds
Acajutla,SV,13.5928,-89.8275,81.03,77,100,14.32,overcast clouds
Sakakah,SA,29.9697,40.2064,98.17,17,0,14.92,clear sky
Troitskoye,RU,52.9821,84.6757,52.65,98,92,9.6,overcast clouds
Churapcha,RU,62.0025,132.4325,51.37,94,77,1.1,broken clouds
Abeche,TD,13.8292,20.8324,93.85,26,24,7.27,few clouds
Syracuse,IT,37.0881,15.2792,76.37,63,0,4.14,clear sky
Barth,DE,54.3635,12.7249,66.06,76,9,11.18,clear sky
Bathsheba,BB,13.2167,-59.5167,86.61,70,40,19.57,scattered clouds
Akyab,MM,20.15,92.9,79.25,87,100,5.86,overcast clouds
Pandan,PH,14.0453,124.1694,80.82,82,18,5.64,few clouds
Sinegorye,RU,62.0788,150.477,52.21,75,100,3.27,light rain
Guantanamo,CU,20.1444,-75.2092,90.73,51,100,7.67,overcast clouds
Teluk Nibung,ID,3.001,99.8164,75.51,91,95,2.91,overcast clouds
Nsanje,MW,-16.92,35.262,67.03,89,0,4.41,clear sky
Zernograd,RU,46.8452,40.3083,65.05,58,24,7.16,few clouds
Jeremie,HT,18.65,-74.1167,85.33,65,100,6.71,overcast clouds
Malino,PH,15.1257,120.6727,85.42,70,75,4.61,broken clouds
Okha,RU,53.5739,142.9478,42.96,92,100,4.16,light rain
Henties Bay,NA,-22.116,14.2845,58.59,81,0,3.06,clear sky
Yaan,NG,7.3833,8.5667,75.43,87,100,6.53,light rain
Barranca,PE,-10.75,-77.7667,65.71,69,32,13.73,scattered clouds
Honiara,SB,-9.4333,159.95,75.94,83,94,6.8,overcast clouds
Cochrane,CA,51.1834,-114.4687,65.89,55,100,12.66,overcast clouds
Grand Gaube,MU,-20.0064,57.6608,74.37,66,0,5.99,clear sky
Matara,LK,5.9485,80.5353,76.28,91,100,7.2,overcast clouds
Aloleng,PH,16.1307,119.7824,82.67,76,89,2.55,overcast clouds
Aulnoye-Aymeries,FR,50.2014,3.8384,73.49,65,18,5.86,few clouds
Balaguer,ES,41.7912,0.8109,94.68,39,76,8.34,broken clouds
Ohara,JP,35.25,140.3833,70.54,91,100,15.52,light rain
Ratnagiri,IN,16.9833,73.3,80.78,84,100,5.61,overcast clouds
Forio,IT,40.7342,13.8646,78.53,71,80,4.18,broken clouds
Khromtau,KZ,50.2503,58.4347,66.61,56,27,7.49,scattered clouds
Gainesville,US,29.6516,-82.3248,98.82,51,6,1.99,clear sky
Zwedru,LR,6.0667,-8.1281,71.49,97,100,6.2,overcast clouds
Taveta,KE,-3.3963,37.6736,68.07,81,27,4.43,scattered clouds
Imeni Poliny Osipenko,RU,52.4201,136.4853,49.55,96,100,5.88,light rain
Kirkkonummi,FI,60.1238,24.4385,63.18,58,57,9.66,broken clouds
Zhireken,RU,52.8249,117.3076,56.35,61,100,0.78,overcast clouds
Sergeyevka,KZ,53.88,67.4158,64.44,67,93,3.0,overcast clouds
Catamarca,AR,-28.4696,-65.7852,64.78,32,0,3.0,clear sky
Butia,BR,-30.1197,-51.9622,67.95,74,100,2.06,overcast clouds
Muzaffarabad,PK,34.37,73.4711,72.0,75,14,7.14,few clouds
Longhua,CN,23.6137,114.1919,74.68,99,100,1.68,light rain
Berlevag,NO,70.8578,29.0864,41.0,81,75,12.66,broken clouds
Pauini,BR,-7.7136,-66.9764,77.65,94,85,2.84,overcast clouds
Ust-Tsilma,RU,65.441,52.1498,59.54,93,100,3.85,overcast clouds
Barra Do Garcas,BR,-15.89,-52.2567,90.18,45,0,5.75,clear sky
Da Lat,VN,11.9465,108.4419,60.33,97,100,1.05,overcast clouds
Wuwei,CN,37.9281,102.6414,71.01,17,61,5.23,broken clouds
Bud,US,39.447,-86.1758,91.42,71,92,14.65,overcast clouds
Santa Marinella,IT,42.0345,11.8536,78.71,78,2,4.36,clear sky
Jasper,US,37.2001,-94.3502,93.97,58,97,4.0,overcast clouds
Hermiston,US,45.8404,-119.2895,79.2,43,13,7.0,few clouds
Nuevo Progreso,MX,23.1667,-97.95,93.54,52,93,8.01,overcast clouds
Narsaq,GL,60.9167,-46.05,44.87,61,34,8.48,scattered clouds
